Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023

complex Smorodina; liter 1;5,1,32.95,1,118000,129000,148800

complex Smorodina; liter 1;5,1,32.95,2,118000,129000,148800

complex Smorodina; liter 1;5,1,32.95,3,118000,129000,148800

complex Smorodina; liter 1;5,1,32.95,4,118000,129000,148800

complex Smorodina; liter 1;5,1,32.95,5,119000,130000,149900

complex Smorodina; liter 1;5,1,32.95,6,119000,130000,149900

complex Smorodina; liter 1;5,1,32.95,7,119000,130000,149900

complex Smorodina; liter 1;5,1,32.95,8,119000,130000,149900

complex Smorodina; liter 1;5,1,32.95,9,120000,131000,151000

complex Smorodina; liter 1;5,1,32.95,10,120000,131000,151000

complex Smorodina; liter 1;5,1,32.95,11,120000,131000,151000

complex Smorodina; liter 1;5,1,32.95,12,120000,131000,151000

complex Smorodina; liter 1;5,1,32.95,13,121000,132000,152100

complex Smorodina; liter 1;5,1,32.95,14,121000,132000,152100

complex Smorodina; liter 1;5,1,32.95,15,121000,132000,152100

complex Smorodina; liter 1;5,1,32.95,16,121000,132000,152100

complex Smorodina; liter 1;5,1,35.2,1,117000,128000,147700

complex Smorodina; liter 1;5,1,35.2,2,117000,128000,147700

complex Smorodina; liter 1;5,1,35.2,3,117000,128000,147700

complex Smorodina; liter 1;5,1,35.2,4,117000,128000,147700

complex Smorodina; liter 1;5,1,35.2,5,118000,129000,148800

complex Smorodina; liter 1;5,1,35.2,6,118000,129000,148800

complex Smorodina; liter 1;5,1,35.2,7,118000,129000,148800

complex Smorodina; liter 1;5,1,35.2,8,118000,129000,148800

complex Smorodina; liter 1;5,1,35.2,9,119000,130000,149900

complex Smorodina; liter 1;5,1,35.2,10,119000,130000,149900

complex Smorodina; liter 1;5,1,35.2,11,119000,130000,149900

complex Smorodina; liter 1;5,1,35.2,12,119000,130000,149900

complex Smorodina; liter 1;5,1,35.2,13,120000,131000,151000

complex Smorodina; liter 1;5,1,35.2,14,120000,131000,151000

complex Smorodina; liter 1;5,1,35.2,15,120000,131000,151000

complex Smorodina; liter 1;5,1,35.2,16,120000,131000,151000

complex Smorodina; liter 2;3;4,1,32.95,5,115000,122000,142700

complex Smorodina; liter 2;3;4,1,32.95,6,115000,122000,142700

complex Smorodina; liter 2;3;4,1,32.95,7,115000,122000,142700

complex Smorodina; liter 2;3;4,1,32.95,8,115000,122000,142700

complex Smorodina; liter 2;3;4,1,32.95,9,116000,123000,143800

complex Smorodina; liter 2;3;4,1,32.95,10,116000,123000,143800

complex Smorodina; liter 2;3;4,1,32.95,11,116000,123000,143800

complex Smorodina; liter 2;3;4,1,32.95,12,116000,123000,143800

complex Smorodina; liter 2;3;4,1,32.95,13,117000,124000,144900

complex Smorodina; liter 2;3;4,1,32.95,14,117000,124000,144900

complex Smorodina; liter 2;3;4,1,32.95,15,117000,124000,144900

complex Smorodina; liter 2;3;4,1,32.95,16,117000,124000,144900

complex Smorodina; liter 2;3;4,1,35.2,5,114000,121000,141600

complex Smorodina; liter 2;3;4,1,35.2,6,114000,121000,141600

complex Smorodina; liter 2;3;4,1,35.2,7,114000,121000,141600

complex Smorodina; liter 2;3;4,1,35.2,8,114000,121000,141600

complex Smorodina; liter 2;3;4,1,35.2,9,115000,122000,142700

complex Smorodina; liter 2;3;4,1,35.2,10,115000,122000,142700

complex Smorodina; liter 2;3;4,1,35.2,11,115000,122000,142700

complex Smorodina; liter 2;3;4,1,35.2,12,115000,122000,142700

complex Smorodina; liter 2;3;4,1,35.2,13,116000,123000,143800

complex Smorodina; liter 2;3;4,1,35.2,14,116000,123000,143800

complex Smorodina; liter 2;3;4,1,35.2,15,116000,123000,143800

complex Smorodina; liter 2;3;4,1,35.2,16,116000,123000,143800

complex Smorodina; liter 2;3;4,2,49.76,5,97000,104000,121700

complex Smorodina; liter 2;3;4,2,49.76,6,97000,104000,121700

complex Smorodina; liter 2;3;4,2,49.76,7,97000,104000,121700

complex Smorodina; liter 2;3;4,2,49.76,8,97000,104000,121700

complex Smorodina; liter 2;3;4,2,51.79,5,97000,104000,121700

complex Smorodina; liter 2;3;4,2,51.79,6,97000,104000,121700

complex Smorodina; liter 2;3;4,2,51.79,7,97000,104000,121700

complex Smorodina; liter 2;3;4,2,51.79,8,97000,104000,121700

complex Smorodina; liter 2;3;4,2,49.76,9,98000,105000,122800

complex Smorodina; liter 2;3;4,2,49.76,10,98000,105000,122800

complex Smorodina; liter 2;3;4,2,49.76,11,98000,105000,122800

complex Smorodina; liter 2;3;4,2,49.76,12,98000,105000,122800

complex Smorodina; liter 2;3;4,2,51.79,9,98000,105000,122800

complex Smorodina; liter 2;3;4,2,51.79,10,98000,105000,122800

complex Smorodina; liter 2;3;4,2,51.79,11,98000,105000,122800

complex Smorodina; liter 2;3;4,2,51.79,12,98000,105000,122800

complex Smorodina; liter 2;3;4,2,49.76,13,99000,106000,123900

complex Smorodina; liter 2;3;4,2,49.76,14,99000,106000,123900

complex Smorodina; liter 2;3;4,2,49.76,15,99000,106000,123900

complex Smorodina; liter 2;3;4,2,49.76,16,99000,106000,123900

complex Smorodina; liter 2;3;4,2,51.79,13,99000,106000,123900

complex Smorodina; liter 2;3;4,2,51.79,14,99000,106000,123900

complex Smorodina; liter 2;3;4,2,51.79,15,99000,106000,123900

complex Smorodina; liter 2;3;4,2,51.79,16,99000,106000,123900

complex Smorodina; liter 2;3;4,2,57.78,1,93000,105000,120600

complex Smorodina; liter 2;3;4,2,57.78,2,93000,105000,120600

complex Smorodina; liter 2;3;4,2,57.78,3,93000,105000,120600

complex Smorodina; liter 2;3;4,2,57.78,4,93000,105000,120600

complex Smorodina; liter 2;3;4,2,57.78,5,94000,106000,121700

complex Smorodina; liter 2;3;4,2,57.78,6,94000,106000,121700

complex Smorodina; liter 2;3;4,2,57.78,7,94000,106000,121700

complex Smorodina; liter 2;3;4,2,57.78,8,94000,106000,121700

complex Smorodina; liter 2;3;4,2,57.78,9,95000,107000,122800

complex Smorodina; liter 2;3;4,2,57.78,10,95000,107000,122800

complex Smorodina; liter 2;3;4,2,57.78,11,95000,107000,122800

complex Smorodina; liter 2;3;4,2,57.78,12,95000,107000,122800

complex Smorodina; liter 2;3;4,2,57.78,13,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,14,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,15,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,16,96000,108000,123900

complex Smorodina; liter 2;3;4,3,68.22,9,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,10,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,11,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,12,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,13,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,14,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,15,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,16,98000,106000,125000

complex AVrorA,1,44.44,2,187000,202000,236600

complex AVrorA,1,44.54,2,187000,202000,236600

complex AVrorA,1,46.04,1,194000,199000,233300

complex AVrorA,1,46.04,2,194000,199000,233300

complex AVrorA,1,46.04,3,194000,199000,233300

complex AVrorA,1,46.04,4,194000,199000,233300

